type,prix,prix_m2,surface,nb_pieces,localisation,details
Appartement,683 000 €,11 974 €/m²,"57,04 m²",3 pièces,Paris 17ème (75),"CABINET S. MOUYAL -24h 1/12 683 000 € 11 974 €/m² À partir de 3 043 €/mois Appartement 3 pièces 57,04 m² 1 chambre Paris 17ème (75) ... Contacter Description"
Appartement,254 400 €,14 040 €/m²,"18,12 m²",1 pièces,Paris 4ème (75),"CABINET S. MOUYAL -24h 1/9 254 400 € 14 040 €/m² À partir de 1 133 €/mois Appartement 1 pièce 18,12 m² Paris 4ème (75) ... Contacter Description"
Appartement,725 000 €,15 095 €/m²,"48,03 m²",3 pièces,Paris 7ème (75),"VARENNE 7e Exclusivité -24h 1/9 725 000 € 15 095 €/m² À partir de 3 230 €/mois Appartement 3 pièces 48,03 m² 1 chambre Paris 7ème (75) Voir sur Propriétés Le Fi…"
Appartement neuf,350 700 €,9 553 €/m²,"36,71 m²",1 pièces,Paris 17ème (75),"NEXITY 1/3 350 700 € 9 553 €/m² À partir de 1 562 €/mois Appartement neuf 1 pièce 36,71 m² Paris 17ème (75) Voir sur Figaro Immoneuf Contacter Description"
Appartement,640 000 €,11 228 €/m²,57 m²,2 pièces,Paris 15ème (75),CABINET S. MOUYAL -24h 1/15 640 000 € 11 228 €/m² À partir de 2 851 €/mois Appartement 2 pièces 57 m² 1 chambre Paris 15ème (75) Contacter Description
Appartement,548 000 €,13 976 €/m²,"39,21 m²",2 pièces,Paris 3ème (75),"CABINET S. MOUYAL -24h 1/11 548 000 € 13 976 €/m² À partir de 2 441 €/mois Appartement 2 pièces 39,21 m² Paris 3ème (75) Contacter Description"
Appartement,599 000 €,13 171 €/m²,"45,48 m²",2 pièces,Paris 16ème (75),"AGENCE GUY HOQUET PRESTIGE PASSY MUETTE -24h 1/6 599 000 € 13 171 €/m² À partir de 2 668 €/mois Appartement 2 pièces 45,48 m² 1 chambre Paris 16ème (75) Contact…"
Appartement,577 500 €,22 541 €/m²,"25,62 m²",1 pièces,Paris 6ème (75),"VARENNE 7e -24h 1/13 577 500 € 22 541 €/m² À partir de 2 572 €/mois Appartement 1 pièce 25,62 m² Paris 6ème (75) Voir sur Propriétés Le Figaro Contacter Descrip…"
Appartement neuf,365 100 €,10 044 €/m²,"36,35 m²",1 pièces,Paris 17ème (75),"NEXITY 1/3 365 100 € 10 044 €/m² À partir de 1 626 €/mois Appartement neuf 1 pièce 36,35 m² Paris 17ème (75) Voir sur Figaro Immoneuf Contacter Description"
Appartement,200 000 €,10 309 €/m²,"19,4 m²",1 pièces,Paris 13ème (75),"DELANGE GOBELINS -24h 1/8 200 000 € 10 309 €/m² À partir de 891 €/mois Appartement 1 pièce 19,4 m² Paris 13ème (75) Contacter Description"
