type,prix,surface,nb_pieces,localisation,details
Appartement,1 597 000 €,86 m²,3 pièces,Paris 07 (75007),Cheminée • 1 salle de bain
Appartement,760 000 €,87 m²,4 pièces,Paris 10 (75010),Cheminée • 1 cave • 1 salle de bain
Appartement,650 000 €,58 m²,3 pièces,Paris 13 (75013),
Maison,5 400 000 €,260 m²,10 pièces,Paris 18 (75018),Surf. terrain : 109 m² • Terrasse • 1 cave • Balcon
Appartement,48 000 €,10 m²,1 pièces,Paris 09 (75009),
Maison,1 400 000 €,126 m²,6 pièces,Paris 20 (75020),Terrasse • 2 salles de bain
Appartement,165 000 €,14 m²,1 pièces,Paris 09 (75009),1 salle d'eau
Appartement,359 900 €,32 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 salle d'eau
Appartement,1 098 500 €,115 m²,6 pièces,Paris 15 (75015),Ascenseur • 1 cave • 2 salles de bain • Balcon
Appartement,577 500 €,56 m²,3 pièces,Paris 12 (75012),1 cave • 1 salle d'eau
Appartement,680 000 €,57 m²,2 pièces,Paris 14 (75014),Terrasse • Ascenseur • 1 salle d'eau • Balcon
Appartement,570 000 €,63 m²,2 pièces,Paris 14 (75014),Cheminée • 1 cave • 1 salle d'eau
Appartement,131 000 €,11 m²,1 pièces,Paris 12 (75012),1 salle d'eau
Appartement,925 000 €,97 m²,5 pièces,Paris 09 (75009),1 salle d'eau
Appartement,475 000 €,52 m²,2 pièces,Paris 15 (75015),Ascenseur • 1 cave • 1 salle de bain
Appartement,199 500 €,20 m²,1 pièces,Paris 20 (75020),Accès handicapé • 1 cave • 1 salle d'eau
Appartement,314 500 €,37 m²,2 pièces,Paris 18 (75018),Ascenseur • 1 salle d'eau
Appartement,294 000 €,24 m²,1 pièces,Paris 17 (75017),Ascenseur • 1 salle de bain • Balcon
Appartement,286 000 €,24 m²,1 pièces,Paris 15 (75015),Accès handicapé • Ascenseur • 1 salle d'eau
Appartement,260 000 €,23 m²,1 pièces,Paris 15 (75015),Accès handicapé • Ascenseur • 1 salle d'eau
Appartement,309 000 €,42 m²,2 pièces,Paris 15 (75015),14 caves
Appartement,497 000 €,48 m²,2 pièces,Paris 13 (75013),Ascenseur • 1 cave • 1 salle de bain • Parking
Appartement,910 000 €,89 m²,4 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle d'eau • Balcon
Appartement,185 000 €,28 m²,1 pièces,Paris 18 (75018),Terrasse • 1 salle d'eau
Appartement,625 000 €,78 m²,4 pièces,Paris 13 (75013),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,61 000 €,7 m²,1 pièces,Paris 20 (75020),
Appartement,379 000 €,45 m²,2 pièces,Paris 17 (75017),Ascenseur • 1 cave • 1 salle d'eau
Appartement,378 000 €,35 m²,2 pièces,Paris (75016),Cheminée • 1 salle d'eau
Appartement,1 450 000 €,145 m²,5 pièces,Paris 14 (75014),Accès handicapé • Ascenseur • 1 cave • 1 salle de bain
Appartement,925 600 €,110 m²,4 pièces,Paris 11 (75011),
Appartement,214 000 €,19 m²,1 pièces,Paris 11 (75011),1 salle d'eau
Appartement,185 000 €,21 m²,1 pièces,Paris 14 (75014),
Appartement,800 000 €,58 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 cave • 2 salles d'eau • Balcon
Appartement,339 000 €,34 m²,2 pièces,Paris 13 (75013),1 salle d'eau
Appartement,1 672 000 €,120 m²,4 pièces,Paris 16 (75016),Terrasse • Accès handicapé • Ascenseur • 1 cave
Appartement,295 000 €,19 m²,1 pièces,Paris 17 (75017),Ascenseur • 1 salle d'eau
Appartement,190 800 €,19 m²,1 pièces,Paris 15 (75015),1 cave • 1 salle de bain
Appartement,740 000 €,73 m²,3 pièces,Paris 17 (75017),Ascenseur • 1 cave • 1 salle de bain
Appartement,535 000 €,49 m²,3 pièces,Paris 17 (75017),1 cave
Appartement,944 000 €,77 m²,3 pièces,Paris 05 (75005),Cheminée • 1 salle de bain
Appartement,220 000 €,26 m²,2 pièces,Paris 13 (75013),Sous-sol • 1 salle de bain
Appartement,850 000 €,77 m²,3 pièces,Paris 09 (75009),Cheminée • Ascenseur • 1 salle de bain • 1 salle d'eau
Appartement,153 000 €,16 m²,1 pièces,Paris 13 (75013),1 salle d'eau
Appartement,1 320 000 €,130 m²,5 pièces,Paris 11 (75011),1 salle de bain • 1 salle d'eau
Appartement,870 000 €,65 m²,4 pièces,Paris 05 (75005),
Appartement,335 000 €,34 m²,2 pièces,Paris 12 (75012),1 cave • 1 salle d'eau
Appartement,493 500 €,54 m²,2 pièces,Paris 11 (75011),1 cave • 1 salle de bain
Appartement,421 000 €,37 m²,2 pièces,Paris 17 (75017),Ascenseur • 1 cave • 1 salle d'eau
Appartement,405 000 €,34 m²,2 pièces,Paris 15 (75015),1 cave
Appartement,779 000 €,88 m²,4 pièces,Paris (75020),1 salle de bain • 1 salle d'eau
Appartement,825 000 €,89 m²,5 pièces,Paris 15 (75015),Ascenseur • Sous-sol • 1 cave • 1 salle d'eau
Appartement,855 000 €,70 m²,3 pièces,Paris 13 (75013),Accès handicapé • Ascenseur • Sous-sol • 1 salle de bain
Appartement,789 000 €,80 m²,4 pièces,Paris 13 (75013),Accès handicapé • Ascenseur • 1 cave • 1 salle d'eau
Appartement,420 000 €,27 m²,2 pièces,Paris 06 (75006),Ascenseur
Appartement,258 000 €,19 m²,1 pièces,Paris 06 (75006),
Appartement,608 600 €,80 m²,4 pièces,Paris 13 (75013),Ascenseur • Sous-sol • 1 cave • 1 salle de bain
Appartement,1 180 000 €,98 m²,4 pièces,Paris 16 (75016),Ascenseur • 1 cave • 2 salles d'eau
Appartement,500 000 €,58 m²,2 pièces,Paris 17 (75017),Ascenseur • 1 salle de bain
Appartement,899 000 €,108 m²,5 pièces,Paris 20 (75020),Terrasse • Ascenseur • 2 caves • 1 salle de bain
Appartement,315 000 €,33 m²,1 pièces,Paris 11 (75011),Ascenseur • Sous-sol • 1 cave • 1 salle de bain
Appartement,1 390 000 €,112 m²,4 pièces,Paris 09 (75009),Garage • 1 cave • 1 salle d'eau
Appartement,428 000 €,49 m²,2 pièces,Paris 11 (75011),
Appartement,42 000 €,8 m²,1 pièces,Paris 17 (75017),
Appartement,2 800 000 €,252 m²,8 pièces,Paris 16 (75016),Cheminée • Ascenseur • 1 cave • 2 salles de bain
Appartement,875 000 €,71 m²,3 pièces,Paris (75003),
Appartement,600 000 €,78 m²,4 pièces,Paris 18 (75018),1 cave • 1 salle de bain
Appartement,446 250 €,45 m²,2 pièces,Paris 17 (75017),Cheminée • 1 cave • 1 salle d'eau
Appartement,428 000 €,49 m²,2 pièces,Paris 20 (75020),
Appartement,310 000 €,38 m²,2 pièces,Paris 20 (75020),Ascenseur • 1 cave • 1 salle de bain
Appartement,197 000 €,25 m²,1 pièces,Paris 18 (75018),Ascenseur • 1 cave • 1 salle d'eau
Appartement,695 000 €,60 m²,2 pièces,Paris 02 (75002),1 cave • 1 salle de bain
Appartement,649 000 €,55 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle de bain
Appartement,637 000 €,64 m²,3 pièces,Paris (75012),Terrasse • Ascenseur • 1 cave • 1 salle de bain
Appartement,987 000 €,100 m²,5 pièces,Paris 12 (75012),4 caves • 1 salle de bain • 1 salle d'eau
Appartement,295 000 €,29 m²,2 pièces,Paris 17 (75017),
Appartement,745 000 €,80 m²,4 pièces,Paris 15 (75015),
